2018-05-24 00:47:32	ECG value :  1.89 V
2018-05-24 00:47:32	ECG value :  1.79 V
2018-05-24 00:47:32	ECG value :  1.78 V
2018-05-24 00:47:32	ECG value :  1.85 V
2018-05-24 00:47:32	ECG value :  1.96 V
2018-05-24 00:47:32	ECG value :  2.10 V
2018-05-24 00:47:32	ECG value :  2.21 V
2018-05-24 00:47:32	ECG value :  2.28 V
2018-05-24 00:47:32	ECG value :  2.27 V
2018-05-24 00:47:32	ECG value :  2.20 V
2018-05-24 00:47:32	ECG value :  2.09 V
2018-05-24 00:47:32	ECG value :  1.98 V
2018-05-24 00:47:32	ECG value :  1.90 V
2018-05-24 00:47:32	ECG value :  1.87 V
2018-05-24 00:47:32	ECG value :  1.92 V
2018-05-24 00:47:32	ECG value :  2.03 V
2018-05-24 00:47:32	ECG value :  2.16 V
2018-05-24 00:47:32	ECG value :  2.28 V
2018-05-24 00:47:32	ECG value :  2.35 V
2018-05-24 00:47:32	ECG value :  2.36 V
2018-05-24 00:47:32	ECG value :  2.30 V
2018-05-24 00:47:32	ECG value :  2.21 V
2018-05-24 00:47:32	ECG value :  2.07 V
2018-05-24 00:47:32	ECG value :  1.96 V
2018-05-24 00:47:32	ECG value :  1.93 V
2018-05-24 00:47:32	ECG value :  1.95 V
2018-05-24 00:47:32	ECG value :  2.04 V
2018-05-24 00:47:32	ECG value :  2.17 V
2018-05-24 00:47:32	ECG value :  2.28 V
2018-05-24 00:47:32	ECG value :  2.36 V
2018-05-24 00:47:32	ECG value :  2.37 V
2018-05-24 00:47:32	ECG value :  2.32 V
2018-05-24 00:47:32	ECG value :  2.19 V
2018-05-24 00:47:32	ECG value :  2.05 V
2018-05-24 00:47:32	ECG value :  1.93 V
2018-05-24 00:47:32	ECG value :  1.86 V
2018-05-24 00:47:32	ECG value :  1.87 V
2018-05-24 00:47:32	ECG value :  1.90 V
2018-05-24 00:47:32	ECG value :  2.00 V
2018-05-24 00:47:32	ECG value :  2.10 V
2018-05-24 00:47:32	ECG value :  2.17 V
2018-05-24 00:47:32	ECG value :  2.20 V
2018-05-24 00:47:32	ECG value :  2.12 V
2018-05-24 00:47:32	ECG value :  1.99 V
2018-05-24 00:47:32	ECG value :  1.84 V
2018-05-24 00:47:32	ECG value :  1.71 V
