1.93;494202.78;76886
2.51;414170.00;76898
2.32;414170.00;76911
1.93;519289.18;76924
2.51;414170.00;76937
2.12;414170.00;76950
2.02;519289.18;76962
2.51;398054.46;76976
2.12;471428.50;76988
2.22;398054.46;77001
2.61;414170.00;77015
2.02;494202.78;77027
2.32;450660.75;77040
2.41;398054.46;77052
1.93;398054.46;77066
2.41;431645.56;77079
2.32;398054.46;77091
1.93;519289.18;77105
2.81;414170.00;77117
2.22;431645.56;77130
2.02;519289.18;77144
2.51;414170.00;77156
2.22;450660.75;77169
2.12;547059.00;77181
2.51;398054.46;77195
2.02;431645.56;77208
2.51;494202.78;77220
2.51;383146.09;77234
1.93;494202.78;77246
2.32;431645.56;77259
2.41;383146.09;77273
1.93;519289.18;77285
2.32;431645.56;77298
2.32;431645.56;77310
1.93;519289.18;77324
2.90;414170.00;77337
2.32;431645.56;77349
2.02;547059.00;77363
2.51;398054.46;77375
2.12;356446.03;77388
2.12;494202.78;77402
2.41;398054.46;77414
2.02;519289.18;77427
2.22;471428.50;77440
2.51;333224.81;77453
1.93;494202.78;77466
2.32;450660.75;77478
2.32;398054.46;77492
1.93;519289.18;77504
2.41;431645.56;77517
2.22;398054.46;77531
1.93;519289.18;77543
2.32;414170.00;77556
2.12;450660.75;77569
2.02;519289.18;77582
2.51;356446.03;77595
2.12;471428.50;77607
2.12;494202.78;77621
2.51;414170.00;77633
1.93;519289.18;77646
2.32;471428.50;77660
2.41;398054.46;77672
1.63;414170.00;77685
2.32;431645.56;77698
2.02;414170.00;77711
1.63;494202.78;77723
2.22;431645.56;77736
2.32;431645.56;77750
1.93;519289.18;77762
2.51;414170.00;77775
2.12;450660.75;77788
1.93;519289.18;77801
2.51;398054.46;77814
1.63;414170.00;77827
2.12;494202.78;77840
2.51;398054.46;77852
1.93;494202.78;77865
2.32;471428.50;77879
2.41;414170.00;77891
1.83;547059.00;77904
2.41;431645.56;77917
2.32;450660.75;77930
1.93;547059.00;77943
2.41;431645.56;77956
2.12;431645.56;77969
1.93;519289.18;77981
2.51;414170.00;77995
2.02;494202.78;78008
2.02;519289.18;78020
2.32;398054.46;78033
1.93;471428.50;78046
2.12;494202.78;78059
2.41;398054.46;78072
1.93;494202.78;78085
2.22;450660.75;78098
2.32;414170.00;78110
1.73;547059.00;78124
2.02;431645.56;78137
2.22;431645.56;78149
1.83;519289.18;78162
2.22;414170.00;78175
2.22;450660.75;78188
1.93;547059.00;78201
2.51;414170.00;78214
2.02;471428.50;78227
2.12;494202.78;78239
2.41;398054.46;78253
1.93;431645.56;78265
2.22;471428.50;78278
2.41;398054.46;78291
1.83;494202.78;78304
2.32;450660.75;78317
2.32;450660.75;78330
1.83;547059.00;78343
2.32;450660.75;78356
2.22;431645.56;78368
2.02;547059.00;78382
2.51;414170.00;78394
2.12;471428.50;78407
2.02;519289.18;78420
2.51;414170.00;78433
1.93;471428.50;78446
2.22;519289.18;78458
2.41;398054.46;78472
1.93;494202.78;78485
2.32;471428.50;78497
2.41;383146.09;78511
1.93;547059.00;78523
2.32;431645.56;78536
2.02;414170.00;78550
1.83;577966.25;78562
2.22;431645.56;78575
2.12;450660.75;78587
1.93;519289.18;78601
2.51;414170.00;78614
1.63;471428.50;78626
2.02;519289.18;78640
2.41;414170.00;78652
1.93;471428.50;78665
2.12;494202.78;78678
2.22;398054.46;78691
1.83;519289.18;78704
2.22;471428.50;78716
2.32;398054.46;78730
1.83;471428.50;78743
2.41;431645.56;78755
2.22;494202.78;78769
1.83;398054.46;78781
2.41;431645.56;78794
2.12;494202.78;78808
1.93;612575.00;78820
2.51;494202.78;78833
2.12;471428.50;78845
2.32;519289.18;78859
2.41;398054.46;78872
1.83;431645.56;78884
2.12;494202.78;78898
2.41;414170.00;78910
1.93;519289.18;78923
2.32;471428.50;78937
2.22;414170.00;78949
1.83;547059.00;78962
2.32;431645.56;78974
2.12;494202.78;78988
1.83;547059.00;79000
2.41;414170.00;79013
2.02;471428.50;79027
1.93;547059.00;79039
2.41;414170.00;79052
2.12;494202.78;79065
2.12;383146.09;79078
2.32;414170.00;79091
1.83;519289.18;79104
2.71;471428.50;79117
2.32;398054.46;79129
1.73;547059.00;79142
2.32;450660.75;79155
2.32;431645.56;79168
1.83;577966.25;79181
2.41;431645.56;79194
2.12;450660.75;79207
1.93;547059.00;79220
2.61;414170.00;79233
2.02;414170.00;79246
2.02;494202.78;79258
2.41;414170.00;79271
1.93;494202.78;79284
2.12;494202.78;79297
2.41;414170.00;79310
1.93;519289.18;79323
2.22;471428.50;79336
2.32;356446.03;79348
1.73;547059.00;79362
2.32;450660.75;79375
2.22;431645.56;79387
1.83;519289.18;79400
2.41;431645.56;79413
2.71;450660.75;79426
1.93;577966.25;79439
2.41;414170.00;79452
2.02;471428.50;79465
2.02;519289.18;79477
2.41;431645.56;79491
1.93;494202.78;79504
2.22;494202.78;79516
2.41;383146.09;79529
1.93;547059.00;79542
2.22;383146.09;79555
2.32;414170.00;79568
1.63;494202.78;79581
2.32;450660.75;79594
2.12;450660.75;79606
1.83;612575.00;79620
2.41;450660.75;79632
1.63;471428.50;79645
2.02;547059.00;79659
2.41;414170.00;79671
1.93;494202.78;79684
2.71;519289.18;79696
2.41;431645.56;79710
1.93;519289.18;79723
2.22;494202.78;79735
2.32;414170.00;79749
1.93;547059.00;79761
2.22;450660.75;79774
2.81;431645.56;79788
