2.13;566745
1.92;566751
1.83;566757
2.08;566763
2.03;566769
1.80;566774
1.98;566780
2.07;566787
1.79;566793
1.78;566799
2.00;566804
1.79;566810
1.63;566816
1.84;566822
1.79;566829
1.57;566835
1.73;566840
1.88;566846
1.63;566852
1.63;566858
1.88;566864
1.73;566871
1.59;566876
1.84;566882
1.85;566888
1.58;566894
1.72;566900
1.90;566906
1.68;566912
1.68;566918
1.93;566924
1.79;566930
1.62;566936
1.84;566942
1.87;566947
1.62;566953
1.72;566960
1.88;566966
1.65;566972
1.60;566978
1.85;566983
1.75;566989
1.58;566995
1.79;567002
1.85;567008
1.60;567014
1.70;567019
1.90;567025
1.69;567031
1.62;567037
1.88;567044
1.77;567050
1.56;567055
1.75;567061
1.83;567067
1.58;567073
1.64;567079
1.87;567086
1.67;567091
1.57;567097
1.84;567103
1.83;567109
1.66;567115
1.83;567121
1.92;567127
1.66;567133
1.67;567139
1.85;567145
1.64;567151
1.49;567157
1.71;567162
1.68;567169
1.46;567175
1.62;567181
1.77;567187
1.54;567193
1.54;567198
1.75;567204
1.61;567211
1.65;567217
2.30;567223
2.83;567229
3.17;567234
3.38;567240
3.03;567246
2.21;567252
1.74;567259
1.72;567265
1.47;567270
1.25;567276
1.41;567282
1.42;567288
1.21;567294
1.32;567301
1.52;567306
1.33;567312
1.30;567318
1.57;567324
1.51;567330
1.38;567336
1.62;567342
1.68;567348
1.47;567354
1.58;567360
1.79;567366
1.60;567372
1.57;567377
1.87;567384
1.82;567390
1.62;567396
1.83;567402
1.91;567408
1.69;567413
1.77;567419
1.99;567426
1.85;567432
1.73;567438
1.99;567444
1.94;567449
1.73;567455
1.91;567461
2.00;567468
1.74;567474
1.77;567480
1.97;567485
1.79;567491
1.68;567497
1.88;567503
1.82;567510
1.58;567516
1.73;567521
1.84;567527
1.60;567533
1.59;567539
1.83;567545
1.69;567552
1.54;567557
1.80;567563
1.78;567569
1.55;567575
1.70;567581
1.85;567587
1.63;567592
1.64;567599
1.91;567605
1.76;567611
1.62;567617
1.84;567623
1.87;567628
1.65;567634
1.76;567641
1.93;567647
1.73;567653
1.66;567659
1.90;567664
1.79;567670
1.61;567676
1.81;567683
1.86;567689
1.62;567695
1.70;567700
1.89;567706
1.69;567712
1.63;567718
1.88;567725
1.79;567731
1.63;567736
1.83;567742
1.91;567748
1.68;567754
1.77;567760
2.03;567767
1.89;567772
1.81;567778
2.04;567784
1.94;567790
1.71;567796
1.83;567802
1.87;567808
1.59;567814
1.61;567820
1.83;567826
1.64;567832
1.54;567838
1.77;567843
1.74;567849
1.53;567856
1.68;567862
1.81;567868
1.77;567874
2.17;567879
2.89;567885
3.31;567891
3.31;567898
3.06;567904
2.45;567910
1.83;567915
1.68;567921
1.67;567927
1.39;567933
1.34;567940
1.55;567946
1.44;567951
1.30;567957
1.52;567963
1.57;567969
1.37;567975
1.51;567982
1.69;567987
1.51;567993
1.51;567999
1.75;568005
1.66;568011
1.52;568017
1.75;568023
1.80;568029
1.60;568035
1.73;568041
1.91;568047
1.72;568053
1.69;568058
1.95;568065
1.86;568071
1.70;568077
1.91;568083
1.97;568089
1.76;568094
1.87;568100
2.06;568107
1.86;568113
1.79;568119
2.02;568125
1.93;568130
1.73;568136
1.88;568142
1.93;568148
1.67;568155
1.71;568161
1.88;568166
